datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Average_Sales
1/31/2014,127.69,99.09,152.1,878.03,354,50,112,48.2,227.63875
2/28/2014,133.32,126.05,177,1001.9,347,31,122,36.2,246.80875
3/31/2014,137.44,92.95,147.655,779.275,232,20,112,85.4,200.84
4/30/2014,113.1,89.475,130.9,698.5,209,18,97,73.7,178.709375
5/31/2014,101.79,119.933,132.1,628.78,270,23,107,123.7,188.287875
6/30/2014,112.07,94.71,122.9,548.225,323,23,57,109.3,173.775625
7/31/2014,117.06,95.01,129.3,491.9,348,21,61,69.1,166.54625
8/31/2014,134.79,99.78,123.8,583.85,420,29,37,70.8,187.3775
9/30/2014,108.78,109.094,122.1,887.82,399,14,115,58.8,226.82425
10/31/2014,154.75,185.241,191.6,1856.815,472,30,182,74.5,393.36325
11/30/2014,138.08,100.86,142.7,723.8,489,19,112,45.2,221.33
12/31/2014,131.9,121.401,111.124,1015.66,492,25,163,33.4,261.685625
1/31/2015,135.91,130.349,141,1044.24,463,24,177.25,42,269.718625
2/28/2015,115.71,123.74,131.83,953.252,243,9,208,47,228.9415
3/31/2015,156.04,129.386,133.8,1084.85,208,13,195,54,246.7595
4/30/2015,154.5,101.115,122.1,940.17,192,5,97,112,215.485625
5/31/2015,160.02,119.117,136.04,765.9,194,10,100,159.5,205.572125
6/30/2015,151.87,113.69,145.46,746.788,217,12,193,125.8,213.201
7/31/2015,175.61,113.81,125.5,708.828,203,6,60,130.3,190.381
8/31/2015,181.69,144.519,133.4,790.788,265.5,15,45,83.7,207.449625
9/30/2015,166.22,134.122,110.4,852.125,243.5,11,91,71,209.920875
10/31/2015,195.81,127.231,146.2,1574.335,222,8,184,72,316.197
11/30/2015,152.78,128.233,145.9,1277.725,228,18,195,44,273.70475
12/31/2015,159.46,131.291,137,1258.349,286,28,231,41.73,284.10375
1/31/2016,171.65,128.402,172.5,1476.324,248,24,174,56.5,306.422
2/29/2016,173.81,137.528,134.2,1224.862,239,20,245,58,279.05
3/31/2016,156.64,180.589,148.4,1150.7,250,13,253,97.84,281.271125
4/30/2016,166.61,146.526,147.7,998.337,318,18,216,162.4,271.696625
5/31/2016,167.36,120.861,130.55,997.15,275,18,131,137.1,247.127625
6/30/2016,169.67,114.961,117.75,760.05,311,20,127,134.8,219.403875
7/31/2016,203.97,141.019,137.9,652.362,240,8,109,116.83,201.135125
8/31/2016,211.13,114.375,132.7,753.05,275.5,12,116,85.3,212.506875
9/30/2016,172.96,126.218,116.7,1118.699,307,18,121,69.3,256.234625
10/31/2016,186.76,142.056,160.15,1617.275,312,11,220,60.9,338.767625
11/30/2016,175.18,116.85,133.85,1062.686,246,27,150,51.2,245.34575
12/31/2016,169.32,135.056,132.4,1624.335,257,18,275,34.9,330.751375
1/31/2017,0,0,0,0,1,0,0,0,0.125
2/28/2017,139.69,103.517,97,526.35,144,7,117,30.6,145.644625
3/31/2017,162.85,111.055,107.35,612.5,165,9,139,100.1,175.856875
4/30/2017,155.61,101.215,100.5,540.2,132,9,209,122.4,171.240625
5/31/2017,143.66,118.125,98.95,547.94,148,23,128,161.81,171.185625
6/30/2017,122.33,103.006,119.6,496.1,163,8,163,151.9,165.867
7/31/2017,159.67,116.206,75.2,479.35,219,15,115,81.1,157.56575
8/31/2017,170.15,112.47,84.4,549.3,239,12,75,60.1,162.8025
9/30/2017,138.33,118.711,88.15,863.75,223,23,139,66.9,207.605125
10/31/2017,137.64,88.737,100.4,1184.35,226,15,247,51,256.265875
11/30/2017,163.85,119.78,104.45,867.899,192,15,196,46.6,213.197375
12/31/2017,160.01,121.663,115.15,1007.18,226,6,204,47.1,235.887875
1/31/2018,132.28,109.446,101.15,1134.325,229,11,219,49.5,248.212625
2/28/2018,128.36,132.804,114.65,1255.374,268,12,253,39.06,275.406
3/31/2018,146.16,111.764,122.3,999.123,381,42,269,85.5,269.605875
4/30/2018,170.02,107.723,84.6,836.037,289,21,229,197.1,241.81
5/31/2018,160.52,103.522,89.4,644.648,259,13,192,213.04,209.39125
6/30/2018,141.18,114.226,86.8,584.343,248,18,101,120.8,176.793625
7/31/2018,150.18,132.549,87.2,679.35,283,19,90,122.2,195.434875
8/31/2018,140,114.719,88.25,733.838,253,20,159,103.1,201.488375
9/30/2018,153.52,114.992,86.5,1058.262,263,12,205,88.1,247.67175
10/31/2018,144.71,129.4,76.05,1129.275,287,25,353,76.9,277.666875
11/30/2018,172.29,105.487,102.15,995.15,252.2,22,311,48.4,251.084625
12/31/2018,147.71,113.024,84.75,1213.95,254,27,384,53.1,284.69175
1/31/2019,179.7,222.351,99.7,1660.612,295.2,23,386,41.3,363.482875
2/28/2019,133.73,142.155,110.2,1001.212,249.4,12,226,69.5,243.024625
3/31/2019,154.52,113.118,83.35,941.05,301.4,19,257,169.5,254.86725
4/30/2019,161.39,100.165,88.1,647.65,299.4,22,259,179.1,219.600625
5/31/2019,168.04,97.258,104.1,703.562,265.8,26,322,135.4,227.77
6/30/2019,151.54,101.627,103.2,610,193,25,142,156.04,185.300875
7/31/2019,181,103.541,92.8,649.8,250.6,20,115,105.2,189.742625
8/31/2019,181.91,88.269,84.2,518.1,237,26,145,97.3,172.222375
9/30/2019,161.07,111.437,93.5,984.48,227.8,16,161,109.1,233.048375
10/31/2019,44.37,37.3,20.65,295.15,86,7,37,11.13,67.325
