Date,Ship_Type,Route_Type,Engine_Type,Maintenance_Status,Speed_Over_Ground_knots,Engine_Power_kW,Distance_Traveled_nm,Draft_meters,Weather_Condition,Cargo_Weight_tons,Operational_Cost_USD,Revenue_per_Voyage_USD,Turnaround_Time_hours,Efficiency_nm_per_kWh,Seasonal_Impact_Score,Weekly_Voyage_Count,Average_Load_Percentage
6/4/2023,Container Ship,None,Heavy Fuel Oil (HFO),Critical,12.59755752,2062.983982,1030.943616,14.13228407,Moderate,1959.017882,483832.3545,292183.2731,25.86707716,1.4551789,1.415653291,1,93.76924947
6/11/2023,Fish Carrier,Short-haul,Steam Turbine,Good,10.38757988,1796.057415,1060.486382,14.65308283,Rough,162.3947116,483388.0005,883765.7874,63.24819631,0.290361353,0.885647774,6,93.8953723
6/18/2023,Container Ship,Long-haul,Diesel,Fair,20.74974664,1648.556685,658.8741441,7.199261343,Moderate,178.0409166,448543.404,394018.7469,49.41815005,0.499594524,1.405813169,9,96.21824443
6/25/2023,Bulk Carrier,Transoceanic,Steam Turbine,Fair,21.05510201,915.2617949,1126.822519,11.78906254,Moderate,1737.385346,261349.6054,87551.37518,22.40910958,0.702905708,1.370704278,1,66.19369845
7/2/2023,Fish Carrier,Transoceanic,Diesel,Fair,13.7427768,1089.721803,1445.281159,9.727833318,Moderate,260.5951033,287718.3752,676121.4596,64.15823138,1.331343093,0.583383352,8,80.00858072
7/9/2023,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Fair,18.61619561,2171.646567,723.3042147,14.91631956,Rough,1912.509751,184569.0454,776698.3548,47.47615465,1.370206009,1.437725005,7,53.17489766
7/16/2023,Fish Carrier,Transoceanic,Heavy Fuel Oil (HFO),Critical,20.43311857,2505.043509,270.118588,8.45526417,Rough,1191.436412,434449.2635,739431.8254,29.04041967,1.120389403,0.602931648,3,58.50863527
7/23/2023,Container Ship,Short-haul,Diesel,Critical,23.49804777,814.8064524,1717.328413,9.283779902,Moderate,318.4492646,348380.6082,462211.4022,52.47860039,0.695974585,1.408663383,6,94.59197231
7/30/2023,None,Coastal,Heavy Fuel Oil (HFO),Good,17.30936153,1179.018805,429.5643131,6.002357886,Moderate,1953.447929,346071.5199,448682.8641,14.45181978,0.977448327,0.764914133,8,50.24705979
8/6/2023,Container Ship,Long-haul,Diesel,Fair,23.22710051,2685.401654,1588.792282,11.72126123,Calm,1843.438252,149790.2093,615230.8575,63.74276095,0.440676184,1.435568716,2,79.45133018
8/13/2023,Fish Carrier,Short-haul,Steam Turbine,Fair,11.63510941,2522.697194,1224.846267,10.90054032,Moderate,1130.60463,299189.3299,749334.9142,47.66533057,0.437835548,1.105260193,9,70.50444756
8/20/2023,Tanker,Transoceanic,Diesel,Good,18.25357726,2129.517895,1311.978577,11.95564793,Rough,441.2599689,481866.2616,738063.1713,48.18566593,1.227064209,0.941448136,4,65.98470406
8/27/2023,Container Ship,Short-haul,Steam Turbine,Good,10.22534243,1599.126107,1499.723611,11.13657609,Moderate,389.1543981,481846.6574,738287.2822,65.53219505,0.575151209,0.539990671,3,84.08780228
9/3/2023,Bulk Carrier,Long-haul,Heavy Fuel Oil (HFO),Good,12.50124251,2780.44964,1474.071885,7.620740184,Rough,1109.802661,47653.10298,288285.6492,25.19656531,1.353768819,1.041852382,7,87.9540437
9/10/2023,Tanker,Long-haul,Diesel,Good,11.71878319,1994.02509,1320.457836,12.14587022,Calm,771.049922,405463.922,511613.2448,47.47917285,1.289012337,0.990488645,7,68.06759184
9/17/2023,Tanker,Long-haul,None,Good,15.08721842,578.8928793,1932.213132,12.99826969,Rough,403.8542843,424860.571,633712.4507,68.22836327,0.652674106,1.308686523,3,74.51022102
9/24/2023,Bulk Carrier,Transoceanic,Heavy Fuel Oil (HFO),Critical,20.73783751,2525.672897,1813.945568,10.94383242,Rough,1552.22499,270793.6804,475171.9115,38.77708075,1.334822916,0.687531822,2,80.72855678
10/1/2023,Tanker,Long-haul,Diesel,Good,14.67203769,1930.378983,884.7901021,5.294924563,Moderate,409.2572678,256979.6104,870358.0916,54.10294402,0.567450155,1.266765251,4,98.24495319
10/8/2023,Fish Carrier,Coastal,Diesel,Critical,23.76428685,1771.769485,1061.932973,8.521647318,Calm,1694.169548,118688.6198,285852.4097,40.86698166,0.836630046,0.785543679,3,94.85679675
10/15/2023,Bulk Carrier,Long-haul,Diesel,Good,22.63879995,1504.115853,1146.915624,12.55887319,Calm,699.9804455,415284.917,456418.0265,22.38503706,0.463934582,0.849169464,6,59.89197596
10/22/2023,Container Ship,None,Diesel,Critical,23.80384655,1120.699241,1169.478497,10.54479901,Rough,1084.255595,377335.1829,371301.2103,57.59360412,1.262366982,1.41790099,8,83.44322801
10/29/2023,Bulk Carrier,Short-haul,Diesel,None,22.76036338,2335.26289,1461.917538,7.980762207,Calm,1100.968552,441952.0773,666766.8829,35.56856226,1.050073578,0.875032507,6,92.18715847
11/5/2023,None,Coastal,Heavy Fuel Oil (HFO),Good,18.75487035,1305.423686,354.5996749,8.052449557,Calm,1725.68777,14878.15192,902159.3717,31.40658095,0.930001579,0.864771709,2,89.54612571
11/12/2023,Container Ship,Coastal,Heavy Fuel Oil (HFO),Good,15.22834729,1283.142456,713.2055517,10.91158623,Moderate,1690.483055,471255.4255,880435.9299,25.68689911,0.177235981,0.638019053,3,68.65401766
11/19/2023,None,Coastal,Diesel,Good,18.06901136,2922.282582,559.8613488,10.41770417,Calm,1741.081025,333900.5817,848139.2641,20.0062379,0.699553377,1.164694762,4,58.54123235
11/26/2023,Container Ship,Long-haul,Heavy Fuel Oil (HFO),Good,17.67155834,1845.764699,1708.795355,10.50827314,Rough,1883.332572,275322.8205,137635.116,22.34612695,0.885948765,0.518018459,4,57.93752488
12/3/2023,None,Coastal,Heavy Fuel Oil (HFO),Critical,20.99495801,2296.329786,275.187105,7.124894909,Calm,53.5165531,114527.8809,506111.0377,52.77458117,0.243270607,0.757687886,1,66.67839299
12/10/2023,Fish Carrier,Coastal,Diesel,Fair,14.06854894,2658.656164,1799.796405,12.08107028,Moderate,1568.528323,355591.1461,834101.7426,37.12240946,1.297999285,1.362142282,5,76.57843893
12/17/2023,Bulk Carrier,Short-haul,Steam Turbine,Fair,18.00364741,1643.93654,177.1664322,9.288473472,Moderate,1961.25077,396658.3332,445673.6192,48.21087701,0.542450769,1.283882454,6,91.2320827
12/24/2023,Fish Carrier,Transoceanic,Diesel,Fair,11.02444398,2957.614133,801.8643545,13.64420403,Calm,730.8652748,221816.8324,990098.8021,46.39327714,0.997680618,1.198271831,1,65.92701637
12/31/2023,Fish Carrier,Long-haul,Steam Turbine,Good,15.96204229,540.9402195,1376.42028,14.67585422,Moderate,687.1986673,470099.7472,744680.5994,32.98368937,0.792326346,0.930670882,5,72.2267412
1/7/2024,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Good,21.42788382,2027.885437,1694.344123,11.76594451,Calm,1348.630862,280960.7086,996686.2212,18.50231359,0.155837709,0.888533874,9,68.68472666
1/14/2024,Bulk Carrier,None,Heavy Fuel Oil (HFO),Critical,18.05569431,2940.98061,1674.056094,14.2554678,Calm,965.7388989,68846.0805,124317.0781,45.59024906,0.581965731,0.9658151,1,79.6962743
1/21/2024,Tanker,Transoceanic,Steam Turbine,Good,14.48895282,1541.616005,1602.755399,10.24917619,Rough,964.4625762,297388.4791,929996.6108,19.25449986,0.160502838,1.307407883,3,84.89926921
1/28/2024,Tanker,Short-haul,Heavy Fuel Oil (HFO),Critical,23.29097058,520.0792591,1532.275224,11.46234853,Calm,1707.647628,33681.75559,896032.712,55.78625994,0.807247048,0.764879044,2,53.95163245
2/4/2024,Container Ship,Coastal,Heavy Fuel Oil (HFO),Fair,10.19866197,504.4811144,378.2853801,12.1454653,Calm,1312.868658,308742.107,311763.5552,65.34143607,1.029576578,0.541722618,1,66.40030951
2/11/2024,Container Ship,Transoceanic,Steam Turbine,Fair,23.03682046,1228.103883,150.1983743,7.434287287,Moderate,247.2795433,348531.2488,708213.4964,43.66811089,0.539485397,0.938560102,2,58.44663826
2/18/2024,Fish Carrier,Coastal,Heavy Fuel Oil (HFO),Fair,13.04007109,2012.887747,1057.333715,13.37838552,Moderate,1318.900475,240552.9265,849331.5311,70.69869143,0.27890388,1.122209735,2,59.81211487
2/25/2024,Tanker,Long-haul,Diesel,Fair,18.26540637,1223.164564,1592.742828,6.831528742,Calm,1806.104251,133451.0642,605876.2128,39.86225627,0.928184685,0.993693596,5,94.98060506
3/3/2024,Fish Carrier,Short-haul,Steam Turbine,Good,24.27463876,2041.346617,1487.371718,5.571068608,Moderate,1182.930162,282347.7956,432936.0065,22.31643563,0.225859792,1.160802603,8,60.96543626
3/10/2024,Container Ship,Short-haul,Heavy Fuel Oil (HFO),Fair,22.89761307,2450.579308,1229.566103,6.42026248,Moderate,166.6356017,126959.5325,891748.2592,68.57626568,0.480981313,1.042344475,7,98.87723207
3/17/2024,Fish Carrier,Short-haul,Diesel,Fair,19.41907155,709.2839932,524.8495811,7.7887825,Calm,1501.248041,311525.5971,700534.0615,31.8193959,0.955716102,1.471439322,1,55.57671221
3/24/2024,Tanker,None,Steam Turbine,Critical,19.08941576,1095.239837,1801.174941,14.08673072,None,858.1013195,70720.33393,382123.5851,66.85377402,0.776207566,0.793401269,3,85.87867441
3/31/2024,Bulk Carrier,Short-haul,Diesel,Critical,21.61731106,2065.651623,1940.010715,9.754800101,Rough,542.5147475,278975.1089,478765.1001,65.65074373,0.239954822,0.691809542,1,78.84343872
4/7/2024,Container Ship,Transoceanic,Diesel,Good,16.01010265,2523.390179,491.259922,13.89045565,Rough,1992.298745,492122.2406,884546.0509,60.45797688,0.832325138,1.435103913,4,96.16116599
4/14/2024,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),None,22.36635073,2814.363627,961.8204083,5.728425622,Calm,105.6172124,400472.4205,183054.936,28.29324164,1.233939404,0.957310951,6,78.74449854
4/21/2024,Bulk Carrier,Transoceanic,Diesel,Critical,12.79451628,655.5854161,993.3883811,5.985634446,Moderate,208.4259913,441678.9643,449403.7439,65.42804403,1.123999931,1.22796296,4,98.37501304
4/28/2024,Bulk Carrier,Short-haul,Steam Turbine,Good,19.83683837,1630.234356,343.4901282,14.92160147,Moderate,820.7754313,215873.5477,290499.5967,13.70047848,1.252541685,0.85761833,9,88.38355632
5/5/2024,Tanker,Short-haul,Steam Turbine,Good,22.63436984,2212.705151,732.2940196,6.111994008,Moderate,1740.389223,253120.4291,188031.6094,71.93544219,0.870818165,0.728884405,4,99.74353434
5/12/2024,Bulk Carrier,Coastal,Steam Turbine,Fair,12.2850452,1398.208393,317.9834226,5.450862377,Rough,155.8509197,145272.3986,520331.3417,47.48908069,0.418677206,0.749874701,4,61.15953558
5/19/2024,Bulk Carrier,Long-haul,Steam Turbine,Good,22.80570639,1238.720948,1635.065605,5.789772445,Calm,351.7020983,390326.4966,886689.1667,37.93627311,1.481693474,1.051969438,9,54.92611562
5/26/2024,Tanker,Transoceanic,None,Fair,24.14346044,543.3801674,1311.118022,5.315510462,Calm,1488.901808,131593.8529,999805.8479,34.01582504,0.506510591,1.132052896,4,60.44027019
6/2/2024,Container Ship,Coastal,Steam Turbine,Good,20.30486559,1763.006913,1794.33912,7.291651081,Calm,791.6908955,132032.4232,676262.6482,35.73963438,1.126820779,0.837892279,7,75.89173893
6/9/2024,Tanker,Short-haul,Heavy Fuel Oil (HFO),Fair,13.62202138,1796.744166,948.2401961,6.335935842,Rough,1091.453287,59734.95343,435887.6847,53.02188419,0.908449087,0.98665468,6,75.89203514
6/16/2024,Fish Carrier,Short-haul,Diesel,Fair,14.86132366,709.3117383,1598.036966,6.734772037,Moderate,540.2513225,141425.4998,807517.086,58.03212867,0.565860643,1.350655045,8,74.1680442
6/23/2024,Bulk Carrier,Short-haul,Diesel,Fair,23.09076794,907.9932403,329.7663364,5.83049346,Calm,1242.590532,477292.6442,664940.1539,54.51791339,0.111746861,1.14154308,7,52.29644387
6/30/2024,Bulk Carrier,Coastal,Diesel,Critical,16.88109856,2386.472511,281.7302312,13.55943428,Moderate,366.8341937,421598.7019,812525.1088,37.33504047,1.156409418,1.069266085,9,60.40725065
6/4/2023,Fish Carrier,Transoceanic,Steam Turbine,Good,22.97615309,2607.657212,185.5822183,14.42441437,Moderate,84.22638332,314472.3287,813657.0024,58.59998615,0.7059234,0.710914783,5,85.97582106
6/11/2023,Fish Carrier,Transoceanic,Diesel,Good,12.62777038,2310.348677,714.5284147,14.7717339,Moderate,323.8434231,70781.89667,416678.5734,41.18334875,0.602909128,0.833673055,6,82.51691346
6/18/2023,Container Ship,Transoceanic,Steam Turbine,Critical,16.2061179,1694.992207,1126.395465,6.091261954,Calm,1104.208908,42536.20968,901048.709,12.68627848,0.832666935,0.599958406,1,57.36982506
6/25/2023,Fish Carrier,Transoceanic,Heavy Fuel Oil (HFO),Fair,21.72076412,1087.723073,1504.261228,9.384914884,Moderate,579.5993528,325352.1573,581986.8868,34.62721136,0.808952921,0.774147378,6,96.78265515
7/2/2023,None,Short-haul,Steam Turbine,Fair,22.23474505,1410.198699,1163.576296,9.555535153,Rough,94.72616341,256534.7407,454223.3015,49.87513782,1.24315515,0.862299029,9,80.20914435
7/9/2023,Fish Carrier,Transoceanic,Heavy Fuel Oil (HFO),Fair,14.23324286,2871.340279,1864.200683,9.864785316,Rough,1903.316281,390041.2377,636618.7296,13.10721033,0.596780961,1.070998599,4,71.69509886
7/16/2023,Container Ship,Coastal,Heavy Fuel Oil (HFO),Good,13.03322365,1880.767737,1782.560483,11.97198263,Moderate,641.9897554,62561.43176,181768.1775,23.78391744,1.315580862,0.926936162,1,56.07657884
7/23/2023,Container Ship,Coastal,Steam Turbine,Fair,13.62629731,2171.913058,1884.784577,8.037292711,Moderate,1022.992605,150803.1775,400380.4692,18.60255706,0.270597287,0.506002369,6,50.9252166
7/30/2023,Fish Carrier,Long-haul,Steam Turbine,Good,24.11177505,2085.079555,1534.459791,14.29686383,Calm,1164.104589,227391.7424,418596.2424,61.78237849,0.949127919,0.751877385,6,79.37185037
8/6/2023,Container Ship,Coastal,Diesel,Fair,18.79723204,2522.087161,1396.16698,9.850448935,Rough,236.6664745,170901.0013,429385.2874,42.52632002,0.668405226,1.007638538,1,68.53854455
8/13/2023,Container Ship,Short-haul,Heavy Fuel Oil (HFO),Good,10.33086384,762.0544842,738.3471238,11.90029989,Moderate,87.83179238,362368.2613,378330.2103,25.79323203,1.179279101,0.708511114,6,98.30640349
8/20/2023,Bulk Carrier,Coastal,Diesel,Critical,15.53457033,2489.883838,1553.63649,8.770965279,Moderate,842.3699947,407620.9589,864534.0456,33.30665332,0.465448781,1.096455002,1,93.07422294
8/27/2023,Bulk Carrier,Long-haul,Diesel,Good,15.19005686,1765.805556,603.3969431,5.120039518,Moderate,287.6660291,107624.6506,587512.0806,12.61730222,0.599800167,1.087453193,6,85.55383963
9/3/2023,Bulk Carrier,Short-haul,Heavy Fuel Oil (HFO),Fair,24.60838217,1528.226422,248.1398365,14.64551137,Calm,1389.476521,279592.0185,349190.1413,67.54185971,0.695799192,1.295803623,7,73.72706165
9/10/2023,Container Ship,Long-haul,Heavy Fuel Oil (HFO),Good,15.37892238,1144.165975,1648.530646,6.649504139,Rough,642.6862382,361888.9925,275275.789,47.85612398,0.806564966,1.362806236,2,73.00492508
9/17/2023,Tanker,Short-haul,Heavy Fuel Oil (HFO),Critical,10.86055348,678.1801645,1367.992082,9.040671223,Calm,1663.627143,224166.4832,568594.2905,26.77232679,0.30869086,1.195838496,3,97.97614645
9/24/2023,Bulk Carrier,Transoceanic,Steam Turbine,Critical,15.81596365,1131.995392,1588.179276,14.72308614,Calm,949.7526495,49758.2084,643770.9405,63.06716613,0.269725704,1.36925166,8,68.43972213
10/1/2023,Bulk Carrier,Transoceanic,Heavy Fuel Oil (HFO),Critical,22.94993963,2568.998563,582.1666331,13.40049041,None,501.4911927,93327.17687,652250.187,50.69766737,0.18998051,0.861326984,3,81.62531927
10/8/2023,Container Ship,Long-haul,Steam Turbine,Fair,24.07483564,2397.891603,941.2719475,11.67904925,Calm,1072.653418,173623.4494,774411.2631,50.16196467,0.23967073,1.324321852,3,71.71690751
10/15/2023,Fish Carrier,Long-haul,Steam Turbine,Fair,21.94581257,759.2486538,763.1567663,6.387618231,Calm,505.9377975,206866.2387,212386.3154,52.83693725,0.636704978,1.065838926,3,85.018997
10/22/2023,Tanker,Long-haul,Diesel,Critical,21.45526008,2290.719381,489.5708572,8.974810172,Rough,1263.566658,255586.3895,58692.72146,58.13940595,0.100211333,0.903078491,7,70.82865639
10/29/2023,Tanker,Coastal,Heavy Fuel Oil (HFO),Fair,18.42257243,1904.895348,554.3695551,9.785254549,None,1540.228201,194093.8679,544245.3164,55.93275894,0.981802819,1.017614775,8,95.60400141
11/5/2023,Fish Carrier,Coastal,Heavy Fuel Oil (HFO),Good,20.56653932,2351.555054,113.858734,13.06404489,Rough,56.76825382,340885.046,914773.6274,60.59289734,0.734836429,0.591437898,9,82.62519488
11/12/2023,Bulk Carrier,Short-haul,Diesel,None,22.52225854,1285.511857,1617.06039,6.496371147,Moderate,807.4781041,310158.8692,580710.0663,30.64954813,0.38714529,1.372238446,7,66.82371245
11/19/2023,Tanker,Long-haul,Heavy Fuel Oil (HFO),Critical,23.6603829,2539.65034,1989.845755,7.177800598,Moderate,717.729864,406215.2222,818075.8697,22.9755845,0.722679851,1.115457386,6,53.03947781
11/26/2023,Tanker,Coastal,Steam Turbine,Critical,24.75791288,2798.159949,1677.169306,13.94357989,Calm,327.6888906,112084.1663,478315.9933,41.06346059,1.128988899,0.860449062,7,85.14536363
12/3/2023,Bulk Carrier,Short-haul,Heavy Fuel Oil (HFO),Fair,21.16316307,2204.88095,1283.735589,11.91364333,Moderate,941.0064341,48020.96712,662292.6935,48.5715524,1.361710732,1.076710031,4,66.21775238
12/10/2023,Bulk Carrier,Coastal,None,Critical,22.35512894,2126.219096,1496.567608,5.932365015,Rough,942.7804277,479544.3846,386796.7844,53.65893644,0.230866998,0.782948201,5,78.08026848
